player_id,name,year,league,reason
"81985114","下園　辰哉","2012","CL","NOT_FETCHED_FROM_NPB"
"81985133","澤村　拓一","2012","CL","NOT_FETCHED_FROM_NPB"
"83185133","B.バリントン","2012","CL","NOT_FETCHED_FROM_NPB"
"83185135","K.ミコライオ","2012","CL","NOT_FETCHED_FROM_NPB"
"83585114","J.スタンリッジ","2012","CL","NOT_FETCHED_FROM_NPB"
"85583868","谷繁　元信","2012","CL","NOT_FETCHED_FROM_NPB"
"91095111","藤井　秀悟","2012","CL","NOT_FETCHED_FROM_NPB"
"91095135","高橋　周平","2012","CL","NOT_FETCHED_FROM_NPB"
"91193884","石井　義人","2012","CL","NOT_FETCHED_FROM_NPB"
"91195110","石川　雄洋","2012","CL","NOT_FETCHED_FROM_NPB"
"91195116","安部　友裕","2012","CL","NOT_FETCHED_FROM_NPB"
"91295131","二神　一人","2012","CL","NOT_FETCHED_FROM_NPB"
"91295133","中村　恭平","2012","CL","NOT_FETCHED_FROM_NPB"
"91393886","小田　幸平","2012","CL","NOT_FETCHED_FROM_NPB"
"91395110","岡﨑　太一","2012","CL","NOT_FETCHED_FROM_NPB"
"91395115","井手　正太郎","2012","CL","NOT_FETCHED_FROM_NPB"
"91395119","押本　健彦","2012","CL","NOT_FETCHED_FROM_NPB"
"91495115","前田　章宏","2012","CL","NOT_FETCHED_FROM_NPB"
"91593888","金城　龍彦","2012","CL","NOT_FETCHED_FROM_NPB"
"91595110","岸本　秀樹","2012","CL","NOT_FETCHED_FROM_NPB"
"91595131","小野　淳平","2012","CL","NOT_FETCHED_FROM_NPB"
"91695131","エドガー","2012","CL","NOT_FETCHED_FROM_NPB"
"91895133","山田　哲人","2012","CL","NOT_FETCHED_FROM_NPB"
"91993884","谷　佳知","2012","CL","NOT_FETCHED_FROM_NPB"
"91995119","筒井　和也","2012","CL","NOT_FETCHED_FROM_NPB"
"91995131","長野　久義","2012","CL","NOT_FETCHED_FROM_NPB"
"93195131","R.メッセンジャー","2012","CL","NOT_FETCHED_FROM_NPB"
"93395135","J.ソーサ","2012","CL","NOT_FETCHED_FROM_NPB"
