season_key,base_year,split_type,team,player_id,player_name_ja,player_name_en,G,PA,AB,H,1B,2B,3B,HR,TB,R,RBI,BB,SO,HBP,SH,SF,SB,CS,GDP,AVG,OBP,SLG,OPS,打率,安打,本塁打,打点,試合,打席,打数,単打,二塁打,三塁打,得点,出塁率,長打率,四球,敬遠,死球,三振,塁打,盗塁,盗塁死,犠打,犠飛,併殺打,IsoP,IsoD,BB%,K%,BB/K,RC,XR,BABIP,SecA,TA,NOI,GPA
1936A,1936,fall,大東京,11513872,遠藤　忠二郎1936年 公式戦初出場,,20,74,64,13,11,0,2,0,17,2,11,9,11,1,0,0.0,2,,,0.203,0.311,0.266,0.577,0.203,13,0,11,20,74,64,11,0,2,2,0.311,0.266,9,,1,,17,2,,0,0.0,,0.063,0.10799999999999998,12.162162162162163,14.864864864864865,0.8181818181818182,5.123287671232877,6.242,0.24528301886792453,0.234375,0.5686274509803921,399.6666666666667,0.20645
1936A,1936,fall,大東京,51553872,大友　一明1936年 公式戦初出場,,26,103,84,11,9,2,0,0,13,10,10,16,19,2,1,0.0,3,,,0.131,0.284,0.155,0.43899999999999995,0.131,11,0,10,26,103,84,9,2,0,10,0.284,0.155,16,,2,,13,3,,1,0.0,,0.023999999999999994,0.15299999999999997,15.53398058252427,18.446601941747574,0.8421052631578947,3.51,5.265999999999998,0.16923076923076924,0.25,0.4657534246575342,335.6666666666667,0.16655
1936A,1936,fall,大東京,81583872,片山　栄次1936年 公式戦初出場,,28,82,76,12,10,1,1,0,15,5,3,3,11,1,2,0.0,1,,,0.158,0.2,0.197,0.397,0.158,12,0,3,28,82,76,10,1,1,5,0.2,0.197,3,,1,,15,1,,2,0.0,,0.03900000000000001,0.04200000000000001,3.6585365853658534,13.414634146341465,0.2727272727272727,2.848101265822785,1.9879999999999995,0.18461538461538463,0.09210526315789473,0.3125,265.6666666666667,0.13925
1936A,1936,fall,大東京,01703872,木全　竹雄1936年 公式戦初出場,,26,94,79,12,8,4,0,0,16,7,7,14,9,1,0,0.0,2,,,0.152,0.287,0.203,0.49,0.152,12,0,7,26,94,79,8,4,0,7,0.287,0.203,14,,1,,16,2,,0,0.0,,0.05100000000000002,0.13499999999999998,14.893617021276595,9.574468085106384,1.5555555555555556,4.473118279569892,5.624,0.17142857142857143,0.25316455696202533,0.4925373134328358,354.66666666666663,0.1799
1936A,1936,fall,大東京,21723872,鬼頭　数雄1936年 公式戦初出場,,15,51,44,9,9,0,0,0,9,3,2,7,2,0,0,0.0,2,,,0.205,0.314,0.205,0.519,0.205,9,0,2,15,51,44,9,0,0,3,0.314,0.205,7,,0,,9,2,,0,0.0,,0.0,0.10900000000000001,13.725490196078432,3.9215686274509802,3.5,2.823529411764706,3.7400000000000007,0.21428571428571427,0.20454545454545456,0.5142857142857142,382.3333333333333,0.19255
1936A,1936,fall,大東京,11013872,近藤　久1936年 公式戦初出場,,12,19,15,1,1,0,0,0,1,1,2,4,5,0,0,0.0,1,,,0.067,0.263,0.067,0.33,0.067,1,0,2,12,19,15,1,0,0,1,0.263,0.067,4,,0,,1,1,,0,0.0,,0.0,0.196,21.052631578947366,26.31578947368421,0.8,0.2631578947368421,0.6279999999999999,0.1,0.3333333333333333,0.42857142857142855,285.3333333333333,0.1351
1936A,1936,fall,大東京,71073872,斎藤　末逸1936年 公式戦初出場,,10,8,8,1,1,0,0,0,1,1,0,0,1,0,0,0.0,1,,,0.125,0.125,0.125,0.25,0.125,1,0,0,10,8,8,1,0,0,1,0.125,0.125,0,,0,,1,1,,0,0.0,,0.0,0.0,0.0,12.5,0.0,0.125,-0.006000000000000116,0.14285714285714285,0.125,0.2857142857142857,166.66666666666666,0.0875
1936A,1936,fall,大東京,91093872,桜井　七之助1936年 公式戦初出場,,15,47,36,12,9,0,3,0,18,4,9,11,10,0,0,0.0,1,,,0.333,0.489,0.5,0.989,0.333,12,0,9,15,47,36,9,0,3,4,0.489,0.5,11,,0,,18,1,,0,0.0,,0.16699999999999998,0.15599999999999997,23.404255319148938,21.27659574468085,1.1,8.808510638297872,9.078,0.46153846153846156,0.5,1.25,655.6666666666666,0.34504999999999997
1936A,1936,fall,大東京,21223872,田川　弘1936年 公式戦初出場,,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0,,,0.0,0.0,0.0,0.0,0.0,0,0,0,1,1,1,0,0,0,0,0.0,0.0,0,,0,,0,0,,0,0.0,,0.0,0.0,0.0,100.0,0.0,0.0,-0.098,nan,0.0,0.0,0.0,0.0
1936A,1936,fall,大東京,91493872,筒井　良武1936年 公式戦初出場,,28,96,82,15,14,1,0,0,16,9,3,14,12,0,0,0.0,3,,,0.183,0.302,0.195,0.497,0.183,15,0,3,28,96,82,14,1,0,9,0.302,0.195,14,,0,,16,3,,0,0.0,,0.01200000000000001,0.119,14.583333333333334,12.5,1.1666666666666667,4.833333333333333,6.313999999999999,0.21428571428571427,0.21951219512195122,0.4925373134328358,367.0,0.18464999999999998
1936A,1936,fall,大東京,01403872,坪内　道則1936年 公式戦初出場,,28,117,103,27,26,1,0,0,28,13,4,12,13,0,2,0.0,13,,,0.262,0.339,0.272,0.611,0.262,27,0,4,28,117,103,26,1,0,13,0.339,0.272,12,,0,,28,13,,2,0.0,,0.010000000000000009,0.07700000000000001,10.256410256410255,11.11111111111111,0.9230769230769231,9.495652173913044,12.572,0.3,0.2524271844660194,0.6973684210526315,429.6666666666667,0.22055000000000002
1936A,1936,fall,大東京,21423872,手塚　勝巳1936年 公式戦初出場,,3,3,3,0,0,0,0,0,0,0,0,0,2,0,0,0.0,0,,,0.0,0.0,0.0,0.0,0.0,0,0,0,3,3,3,0,0,0,0,0.0,0.0,0,,0,,0,0,,0,0.0,,0.0,0.0,0.0,66.66666666666666,0.0,0.0,-0.29400000000000004,0.0,0.0,0.0,0.0,0.0
1936A,1936,fall,大東京,63163872,ボンナ1936年 公式戦初出場,,7,26,24,11,9,1,1,0,14,4,1,2,5,0,0,0.0,1,,,0.458,0.5,0.583,1.083,0.458,11,0,1,7,26,24,9,1,1,4,0.5,0.583,2,,0,,14,1,,0,0.0,,0.12499999999999994,0.04199999999999998,7.6923076923076925,19.230769230769234,0.4,7.0,5.826,0.5789473684210527,0.25,1.3076923076923077,694.3333333333334,0.37075
1936A,1936,fall,大東京,73573872,水谷　則一1936年 公式戦初出場,,27,115,96,25,18,5,2,0,34,9,12,18,10,0,1,0.0,4,,,0.26,0.377,0.354,0.731,0.26,25,0,12,27,115,96,18,5,2,9,0.377,0.354,18,,0,,34,4,,1,0.0,,0.09399999999999997,0.11699999999999999,15.65217391304348,8.695652173913043,1.8,12.824561403508772,14.382,0.29069767441860467,0.3229166666666667,0.7887323943661971,495.0,0.25815
1936A,1936,fall,大東京,33733872,柳沢　騰市1936年 公式戦初出場,,4,7,7,1,1,0,0,0,1,0,0,0,0,0,0,0.0,0,,,0.143,0.143,0.143,0.286,0.143,1,0,0,4,7,7,1,0,0,0,0.143,0.143,0,,0,,1,0,,0,0.0,,0.0,0.0,0.0,0.0,nan,0.14285714285714285,-0.08800000000000008,0.14285714285714285,0.0,0.16666666666666666,190.66666666666666,0.1001
1936A,1936,fall,金　鯱,81383872,江口　行男1936年 公式戦初出場,,6,26,22,5,5,0,0,0,5,4,0,3,4,0,1,0.0,0,,,0.227,0.32,0.227,0.547,0.227,5,0,0,6,26,22,5,0,0,4,0.32,0.227,3,,0,,5,0,,1,0.0,,0.0,0.093,11.538461538461538,15.384615384615385,0.75,1.6,1.824,0.2777777777777778,0.13636363636363635,0.47058823529411764,395.6666666666667,0.20075
